Colonne 1,Parameter,Feature,Evaluation,Range of Evaluation,Description,Prompt,New Prompt
11,Highlight textures and details to add depth and interest.,Composition,Score,"No, Yes",Highlight textures and details to add depth and interest.,"Does the image include textures and details that make it strong?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","# 🧠 Prompt AI — Visual Texture Evaluation (v2.5)

## 🎭 ROLE

You are an **image critic specializing in texture analysis**.

Your mission: to evaluate **how actively textures contribute to the composition, depth, and narrative** of a photograph.

---

## 🎯 OBJECTIVE

Evaluate the **function** of textures in the image, not just their presence.

Focus on their ability to be:

* **Central and visually dominant**
* **Readable** (sharp, detailed, contrasted)
* **Active in the composition** (guiding the viewer's eye, hierarchy, rhythm)
* **Relevant to the narrative or atmosphere**

Textures should be **structural, not decorative**.

They must enhance the **visual tension**, **depth**, or **narrative intent** of the image.

---

## 📉 TO BE PENALIZED

* Textures **in the background**, **blurred**, or **without visual function**
* **Graphic or repetitive patterns** mistakenly taken for texture (circles, lines, tiles)
* Surface details **that do not influence the interpretation of the image**
* **Textures that are clearly visible but have no impact on the narrative or perception**
* **Presence of material not used visually** (e.g., smooth leather, polished metal, clean parquet flooring)
* **Reflections or lighting** should **never be confused with a substantial textural element**, even if they are based on a visible surface (e.g., puddles, shop windows, neon lights)
* **Ornaments, sculpted motifs, or narrative details** (architecture, frescoes, costumes) **should not be overemphasized** if the material itself **is not central to the interpretation**.

> ⚠️ A **repeated shape**, a **well-rendered surface**, or a **legible detail** is not enough.

> Texture must transform the perception, organization, or atmosphere** of the image. If the image would function **exactly the same without texture**, it is **not relevant**.

---

## 🌀 SPECIAL CASES

### Texture covering the entire image

Award a **high score (80–100)** only if:

* The material is **visually tangible** (cracking, grain, roughness, etc.)
* It **structures the reading** or generates **tension, immersion, or depth**

> ⚠️ A **repeating pattern covering the entire image** is **not enough** without a **strong and meaningful texture**.

### Graphic or Architectural Image

Do not give a high score if:

* The surfaces are smooth, clean, and regular, even when well-lit.
* The image relies on shapes or structures, without any perceptible texture.

Ask yourself:
**Would the image be the same if the surface details were blurred?**

If yes ➝ **texture is not an active factor.**

### Misused Texture (Trick)

Some textures **appear to be present** but do not **transform the image into a meaningful interpretation**:

* Banana peel, clean parquet flooring, leather, standard clothing, polished metal.

Even if clearly visible, these textures **should not be scored** unless they **convey a clear visual intention** (tension, symbolism, atmosphere).

### Urban or Cinematic Atmospheres

Even if an image contains textures (walls, floors, puddles), **they should only be emphasized if they directly contribute to the visual experience or immersion**.

> Be careful with street scenes, nighttime scenes, or cinematic images: if the visual impact relies on lighting, lines, or reflections, texture may appear present without being active. **Always test the blurry view** to confirm its relevance.

### Sculptures, Frescoes, Complex Details

> Do not confuse **sculpted narrative or decorative details** with **surface texture**.

> A visually rich image can have **very little texture** if its material **does not serve the visual experience** or **can be replaced by a flat pattern**.

---

## 🔍 TIP — Blurry Reading

Imagine the image blurred:
If the **material still structures perception**, **guides the eye**, or **creates volume**, the texture is relevant.

But if **the visual message remains unchanged**, or if the material becomes invisible without altering the reading experience, the texture is **decorative**.

---

## ✅ RATING

| Scale | Description |

| ---------- | ------------------------------------------------------------------------ |

| **0–20** | Texture nonexistent, decorative, or without perceptual impact |

| **30–60** | Texture visible but secondary, or partially useful |

| **70–100** | Texture central, legible, and structuring to the reading experience or atmosphere |

---

## 🧾 CANONICAL EXAMPLES

### 🔸 Score 10:

A clean white wall, a neat floor with no visible irregularities, polished metal — **no tension or materiality exploited**.

### 🔸 Score 30:

A damp urban alleyway with a degraded floor and textured walls, but whose graphic impact would still rely on lighting and perspective, even if blurred.

### 🔸 Score 40:

A highly sculpted Gothic portal, but whose interpretation relies on figurative details rather than the materiality.

### 🔸 Score 50:

A sweater that is visible and sharp but secondary in the image, a slightly grainy surface with no narrative effect.

### 🔸 Score 70:

A wrinkled hand resting on a rough wooden table, where the material **carries the narrative or emotion**.

### 🔸 Score 90+:

Immersive close-up of a cracked wall, an organic surface that **structures the image** and **absorbs the gaze** through its sheer texture."
12,Perspective Lines,Composition,Score,"No, Yes",Use converging lines to create depth and guide the eye.,"Does the image have perspective lines?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","This parameter measures the presence and visual impact of converging lines in the composition, used to structure space, suggest depth, and guide the eye toward a focal point. These lines can originate from architecture, natural geometry, or the placement of elements within the scene. A high score corresponds to a composition clearly organized around perceptible vanishing lines; a low score indicates the absence or invisibility of any structuring perspective.

Examples of scoring:
- 0: No visible vanishing lines; the scene is not constructed according to a logic of perspective.
- 50: A slight perspective is suggested, but the lines are discreet or secondary in the interpretation of the image.
- 100: The image relies heavily on clear converging lines (road, corridor, rails, etc.), organizing the viewer's gaze and reinforcing depth."
13,Aspect Ratio,Composition,Radio,"Square, Horizontal, Vertical","Choosing between square, horizontal, or vertical formats affects the perception and reading speed of the image.","Choosing between 'Square', 'Horizontal', or 'Vertical' formats affects the perception and reading speed of the image; Felt on the image format.
Score type: text.","This parameter identifies the dominant visual format of the image, based on the ratio between the height and width of the frame. An image can be square (1:1 ratio), horizontal (wider than it is tall), or vertical (taller than it is wide). This choice influences the perception of the image, the flow of the viewer's gaze, and sometimes the relationship between the subject and its surroundings. The aim is not to judge the format used, but to recognize it for what it expresses in terms of visual composition.

Possible options:
– Square: The frame is as tall as it is wide, often used for symmetrical, centered, or graphic compositions.

– Horizontal: The frame is wider than it is tall; promotes a panoramic or expansive view of the scene.

– Vertical: The frame is taller than it is wide; often used for portraits or to emphasize upward movement."
14,Line Direction,Composition,List,"Horizontal, Oblique, Curved, Vertical, None","Horizontal lines inspire calm and stability, oblique lines dynamism and instability, and curved lines softness and soothing, vertical","Choose from 'Horizontal', 'Oblique', 'Curved', and 'Vertical'. Multiple choices may apply.
Horizontal lines inspire calm and stability, oblique lines dynamism and instability, and curved lines softness and soothing, vertical.
Score type: text.","This parameter describes the dominant directions of the lines visible in the image, identifying their role in the overall visual composition. These can be horizontal lines (stability, calm), vertical lines (elevation, tension), oblique lines (dynamism, imbalance), or curved lines (fluidity, softness). Several types of lines can coexist, but only those that truly structure the composition should be retained.

Possible choices:
– Horizontal: Lines parallel to the horizon, evoking stability, rest, or static equilibrium.

– Vertical: Ascending or descending lines, emphasizing height, tension, or authority.

– Oblique: Inclined or diagonal lines, creating a dynamic of movement, instability, or visual tension.

– Curved: Rounded, sinuous, or soft lines, generating a feeling of fluidity, organic quality, or calm.

– None: No dominant line type is identifiable or structuring in the composition."
15,Implied Lines,Composition,Score,"No, Yes",Lines that are not explicitly drawn but are suggested by the composition or the subject's gaze.,"Lines that are not explicitly drawn but are suggested by the composition or the subject's gaze.
Does the image have suggested lines?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","# 🧠 Prompt Optimized – Detection and Evaluation of Implicit Lines

## 🎭 Role

You are a **photo critic specializing in visual composition**, focusing on identifying **implicit lines**: those invisible yet perceptible alignments that guide the viewer's gaze and structure the interpretation of an image.

---

## 🎯 Objective

Identify, describe, and evaluate the quality of **implicit lines** present in the photograph, that is:

* The **undrawn visual connections** between elements of the image.

* The **perceived** paths that **guide the viewer's gaze** or **structure the composition**.

* The **graphic or directional** lines that are **not based on visible physical features**.

---

## ⚠️ Clear Definition

An **implicit line** is an **invisible perceptual connection** formed by:

* A subject's **gaze**, **gesture**, or **posture**.

* The **alignment** or **repetition** of **visually separated** objects.

* The **spatial symmetry** between several elements.

* The **rhythm** between distinct shapes, **color areas**, or **light values**.

* Frozen** or **anticipated** movement (jump, flight, momentum, etc.).

> It must **connect at least two distinct visual points**, create a **perceptual flow**, and **actively participate in the composition**.

> It is **not drawn or materialized** (no wire, bar, edge, or linear physical object).

---

## ❌ What is not an implicit line

Systematically rejects:

* **Visible lines**: wires, walls, edges, bars, structures, architecture.

* **Internal patterns** within an object (stripes, grooves, wood grain, branches, repetitive facade).

* The **symmetry or axis of a single object**.

* **Isolated gazes** without a focal point.

* Repetitions without perceptual connection (e.g., scattered birds without rhythm or direction).

* Any structure **that plays no active role in reading or storytelling**.

--

## 📏 Evaluation Criteria

Ask yourself these 3 questions:

1. Are one or more **coherent implicit lines** perceptible?

2. Do these lines **actually guide the eye**?

3. Do they contribute to a **clear, balanced, meaningful composition**?

---

## 🧮 Rating

**0** = No perceptible implicit lines.
**30–50** = Weak or partial implicit lines, with little structural impact.

**60–75** = Visible and clear implicit lines, contributing to readability.

**80–100** = Strong implicit lines, central to the composition, well-integrated, fluid, coherent, and graphic.

---

## ✅ Response Format

Submit your assessment **in JSON**, in this format:

```json
{
""score"": [number between 0 and 100],

""comment"": ""[Clear, concise, reasoned analysis of the implicit lines detected]""

}
```

---

## 📷 Corrected Examples

❌ Poor Case — Score: 0/100
A bird perched on a wire.

➤ The wire is a visible line. No other element creates an implicit link.

❌ Overinterpreted Case — Score: 0/100
A wavy facade with rhythmic balconies.

➤ These are internal patterns, with no link between distinct elements.

✅ Strong Case — Score: 90/100
Two people looking at a common point, directed posture, objects aligned diagonally.

➤ An obvious, directional, fluid, central, implicit line in the composition."
16,Light Reflection,Composition,Score,"No, Yes",Effects produced by light reflected or refracted by surfaces or materials in the scene.,"Effects produced by light reflected or refracted by surfaces or materials in the scene.
Does the image contain any reflections or refraction of light?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","This parameter measures the visual impact of lighting effects related to reflection or refraction on surfaces within the image. It identifies direct reflections (glass, mirrors, water), glare on shiny materials, and optical distortions caused by light passing through or bouncing off specific surfaces. The score reflects not only the presence of these phenomena but also their visible role in the image's composition or atmosphere.

Examples of scoring:
- 0: No reflective surfaces or optical effects are visible; light is diffused or absorbed without noticeable reflection.
- 50: One or more reflections are present (shiny surface, partial glare), but they do not dominate the visual experience.
- 100: The image relies heavily on reflected or refracted light: significant reflections, dominant optical effects, and an atmosphere built around reflection."
17,Point of Light,Composition,Score,"No, Yes",Bright elements or points of strong light that naturally capture attention.,"Bright elements or points of strong light that naturally capture attention.
Does the image have a bright spot?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","This parameter measures the presence of one or more clearly visible points of light in the image, whether they are direct sources (streetlights, sunlight, light bulbs), localized halos of light, or areas of high light intensity that immediately draw the eye. The score reflects both the visibility and the perceptual power of these light elements, as focal points or visual accents. This criterion does not concern overall exposure, but rather localized points that have a graphic or narrative role.

Examples of scoring:
- 0: No visible light source is identifiable in the image; the lighting is diffuse or indirect.
- 50: A point of light is present, perceptible but discreet, or integrated into the scene without dominating the composition.
- 100: One or more highly visible points of light focus the viewer's gaze, becoming dominant elements in the interpretation of the image."
18,Soft Focus,Composition,Score,"No, Yes",Mist or blur effect that reduces contrast and adds a touch of mystery or softness to the image.,"Does the image display a soft focus effect, characterized by a gentle blur and lowered contrast, which imbues the scene with an mystical, ethereal or dreamlike quality? This effect should not be mistaken for depth of field, which is related to the sharpness of certain areas in relation to the background or foreground.
Value of 0: There is no discernible soft focus effect present in the image;
At 100: The image prominently features a soft focus effect throughout, contributing significantly to its mood and style.
Score type: continuous score between 0 and 100.","This parameter measures the presence of a subtle, overall soft blur, accompanied by reduced contrast, which gives the image a gentle, hazy, or even dreamlike atmosphere. This visual effect is often used to evoke a sense of nostalgia, mystery, or timelessness. It should not be confused with depth of field, which relates to the relative sharpness between the subject and its surroundings, nor with accidental or technical blur.

Examples of ratings:
- 0: The image is perfectly sharp, with normal contrast, and no perceptible soft blur.

- 50: A slight blur is visible; the edges are softened, and the atmosphere begins to take on a softer tone without completely compromising clarity.

- 100: The image clearly relies on a generalized soft blur; the atmosphere is very hazy or ethereal, with blurred edges and significantly reduced contrast."
19,Scale and Proportion,Composition,Score,"No, Yes","The size relationship between different elements in an image can be used to create perspective, emphasize relative importance, or induce certain emotions in the viewer.","The size relationship between different elements in an image can be used to create perspective, emphasize relative importance, or induce certain emotions in the viewer.
Does the image affect the size of the different elements that compose it?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","This parameter measures the extent to which the image uses size relationships between elements to structure the scene, suggest perspective, or produce an effect of emphasis or disproportion. Scale can highlight the relative importance of a subject, create tension between proximity and distance, or evoke emotion by altering our visual reference points. The score does not reflect the natural presence of objects of different sizes, but rather their intentional use in the composition.

Examples of scoring:
– 0: The sizes of the elements are consistent and play no particular role in the visual or narrative construction.

– 50: A difference in size is perceptible between nearby subjects, creating a visual hierarchy, without being exaggerated.

– 100: The image clearly relies on an unusual or exaggerated scale: striking contrast in size, forced perspective effect, or disproportion used to dramatize or symbolize."
20,Pattern Repetition,Composition,Score,"No, Yes","The repetition of similar elements (shape, color, pattern) across the composition to create visual movement or harmony.","The repetition of similar elements (shape, color, pattern) across the composition to create visual movement or harmony.
Does the image contain a repetition of similar elements of shape, color or pattern?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","This parameter measures the visible use of repetitive patterns in the image composition. These patterns can involve similar shapes, colors, or objects, arranged to create a perceptible visual rhythm, harmony, or dynamic. Repetition can be regular or slightly varied, as long as it remains clearly legible and plays a role in structuring the image. This criterion does not consider isolated similarities without any logical arrangement.

Examples of scoring:
- 0: No repeated patterns or elements are perceptible; the scene is visually heterogeneous.
- 50: A few similar elements are present, and their repetition creates a rudimentary structure or rhythm in the image.
- 100: The composition is clearly organized around strong visual repetition: regular sequences, aligned patterns, or dominant repetitive structures."
21,Color Harmony,Composition,Score,"No, Yes",Combine complementary or analogous colors to enhance aesthetics.,"Does the image include harmonious or complementary colors?
Value of 0: No;
At 100: Yes.
Score type: continuous score between 0 and 100.","This parameter measures the visual coherence and chromatic compatibility between the colors present in the image. Harmony can arise from complementarity (colors opposite each other on the color wheel), analogy (nearby colors), or a subtle balance between hues, tones, and saturations. A high score corresponds to a palette perceived as fluid, coherent, or aesthetically well-controlled; a low score reflects visual dissonance, a lack of color structure, or a perceptual incompatibility between colors.

Examples of scoring:
- 0: The colors are discordant, garish, or disjointed, without any apparent visual logic.
- 50: Some colors harmonize well, but the palette remains partially unbalanced or incomplete.
- 100: The colors are harmoniously distributed, with a coherent and visually pleasing palette based on a clear chromatic relationship."
22,Location Setting,Composition,Radio,"Indoors, Outdoors, Non-applicable",Is the photo taken indoors or outdoors?,"Does the photo have an indoor or outdoor setting?
Choose the right option from the list below:
[‘Indoors’, ‘Outdoors’, ‘Non-applicable’]
Score type: Text.","This parameter identifies whether the photographed scene is located in an indoor, outdoor, or indeterminate space. An indoor location refers to an enclosed or covered space (room, building, architectural structure). An outdoor location corresponds to an open environment (natural, urban, public). The ""Not applicable"" category is used when the image has no clear spatial clues to determine its context (plain background, abstraction, generated or composite image).

Possible options:

– Indoor: The scene is clearly captured in an enclosed space (room, hall, tunnel, etc.).

– Outdoor: The image shows an open or exposed space (street, forest, square, etc.).

– Not applicable: No element allows for a conclusion (neutral background, isolated studio, virtual or abstract space)."
23,Rule of thirds,Framing,Boolean,Does the framing of the image use the Rule of Thirds?,"Divides the image into thirds both horizontally and vertically, placing subjects at the intersections or along the lines.","Divides the image into thirds both horizontally and vertically, placing subjects at the intersections or along the lines.
Does the training of the image use the Rule of Thirds?
Score type: Boolean.","You are an experienced photography teacher reviewing a student's image. The photo is already displayed with a superimposed 3×3 grid, similar to the ""rule of thirds.""

Your task:
1. Identify the subject: In one short sentence, state what you consider to be the main subject or dominant visual element (e.g., ""a French bulldog in a hoodie,"" ""a red kayak on turquoise water,"" ""the city skyline"").

2. Remind them of the rule: The rule of thirds places important subjects or horizon lines along the vertical or horizontal lines of the grid or at one of the four intersections. Proper application generally means that the subject's focal point is located approximately one-ninth of the frame (≈ ±10% of the width/height) from a grid line or intersection.

3. Room for interpretation: a slight misalignment or intentional creativity. The discrepancy can still be considered if the image appears clearly balanced according to the rule of thirds. However, a subject placed in the center, close to an edge, or without discernible alignment should be considered a failure.

4. Decide – After weighing the pros and cons of the artistic intention, display only:

true: if the placement credibly adheres to the rule (including acceptable tolerance and artistic leeway); or

false: if it does not.

Additional details:

- To assist you in this task, the two horizontal and two vertical lines dividing the image into thirds are drawn on the photograph.

- Scoring type: Boolean (consider ""true"" only if the main subject is primarily and clearly located on a grid intersection or line; exceptionally, ""true"" may be awarded if the subject is very close to an intersection or line, constitutes the clear focal point in an empty or minimal frame, and shows obvious compositional intent).

- Main subject definition: The largest and most prominent object or person in the frame.

- Clarify scope: Evaluate only the main subject and mention secondary elements only if they are also clearly aligned with a grid line or intersection.

- Positional language: Explicitly state which grid intersection(s) or line(s) the subject aligns with (e.g., ""intersection top right,"" ""vertical left line"").

- Handling near misses: If the subject is close but not clearly on an intersection or line, specify the distance, explain the visual impact, and indicate whether contextual factors (focus, empty space, intention) justify a ""true"" misalignment despite a slight offset.

- Visual annotation reference: Explicitly reference the visual rule of thirds provided when describing the alignment or misalignment.

- Provide a very concise (no more than a few sentences) but detailed explanation of how the elements do (or do not) conform to this rule, with precise positional references, a justification based on the visual context if relevant, and a strict but considered standard for what is deemed compliant."
24,Golden Rectangles,Framing,Boolean,Does the image framing use The Golden Rectangle?,It involves dividing the frame into rectangles with proportions adhering to the golden ratio and placing key elements within these rectangles to achieve aesthetically pleasing compositions,"It involves dividing the frame into rectangles with proportions adhering to the golden ratio and placing key elements within these rectangles to achieve aesthetically pleasing compositions.
Does the image framing use The Golden Rectangle?
Score type: Boolean.","This parameter identifies whether the image composition relies on the use of rectangles proportioned according to the golden ratio (approximately 1.618), often called golden rectangles. These proportions can structure the frame or guide the placement of key visual elements. The presence of this construction should be perceptible in the overall layout of the image: precise asymmetrical balance, gradual interlocking, or fluid alignment according to these ratios.

Examples:
– True: The subject or main visual masses follow golden divisions, or are clearly contained within a perceptible golden spiral or frame.

– False: The image is well-framed but does not adhere to an identifiable golden ratio; the placement of elements appears arbitrary or based on another logic (rule of thirds, centering, etc.)."
25,Golden Spiral,Framing,Boolean,Does the framing of the image use The Golden Spiral?,"Positions elements along a spiral based on the Fibonacci sequence, naturally guiding the eye.","Positioning elements along a spiral based on the Fibonacci sequence, naturally guiding the eye.
Does the framing of the image use The Golden Spiral?
Score type: Boolean.","This parameter identifies whether the image composition follows the logic of a golden spiral, also known as a Fibonacci spiral: a logarithmic curve that gradually guides the eye toward a central or peripheral focal point. This construction relies on proportions related to the golden ratio, with visual elements strategically placed along the spiral or at its inflection points. This criterion only considers cases where the image's visual structure clearly corresponds to this spiral pattern.

Examples:
– True: The visual shapes, masses, or lines are organized around a perceptible spiral, which naturally leads the eye in a progressive movement toward a center or key point.

– False: The image contains curves or spirals, but without a clear alignment with a golden spiral; the visual dynamic does not follow this precise flow."
26,Diagonal Leading Lines,Framing,Boolean,Does the image framing use the Diagonal?,Employs diagonal lines to create movement and direct attention.,"Employing diagonal lines to create movement and direct attention.
Does the image framing use the Diagonal?
Score type: Boolean.","This parameter identifies whether the image composition relies on the use of perceptible diagonal lines to structure space, suggest movement, or guide the viewer's attention. These diagonals can be formed by objects, architectural elements, shadows, or visual alignments, provided they play an active role in the interpretation of the image. This criterion only applies if the diagonal lines are visually dominant and contribute to the perceptual organization of the scene.

Examples:
– True: A staircase ascending at an angle, a diagonal road intersecting the image, or an obliquely oriented object creating directional tension.

– False: Slightly inclined but non-structuring lines, or diagonal elements not perceived as visual guides."
27,Golden Triangles,Framing,Boolean,Does the image framing use the Golden Triangle?,Divides the image into triangles to energize the composition with inclined lines.,"Dividing the image into triangles to energize the composition with inclined lines.
Does the image framing use the Golden Triangles?
Score type: Boolean.","This parameter identifies whether the image composition is organized according to the principle of golden triangles: an implicit division of the frame into slanted triangles, designed to energize the scene through well-distributed oblique lines. This structure relies on diagonal lines that divide the space into triangular sections, within which key visual elements are placed or aligned. This criterion only applies to images where this geometry is perceptible in the overall organization, and not simply the presence of triangular shapes in the subject.

Examples:
– True: The subject or several visual masses are part of an oblique composition where the frame can be mentally divided into coherent triangles.

– False: The image contains triangular elements or oblique lines, but without a perceptible structure based on a triangular division of the frame."
